Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1,Shimmer 1
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,VSenseBatt,VSenseReg,Magnetometer X,Magnetometer Y,Magnetometer Z,Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,VSenseBatt,VSenseReg,Magnetometer X,Magnetometer Y,Magnetometer Z
RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL
No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,No unit,mSecs,m/(sec^2),m/(sec^2),m/(sec^2),deg/sec,deg/sec,deg/sec,mVolts,mVolts,local,local,local
46721,1990,2172,2655,1618,1321,1794,2372,2299,-200,34,-493,1425.81176757813,2.58979245403882,1.6819230030107,27.8076996989302,-112.449284075825,97.9741710204996,3.65669943739936,3475.45787545788,3348.28717948718,0.0535491905354919,0.332506203473945,0.540816326530612
47361,2008,2162,2641,1841,1624,1815,2387,2319,-202,22,-491,1445.34301757813,1.82079042822369,1.28747958170521,27.2520418294792,-5.24952628110068,2.20881419794809,-0.149166809580975,3497.4358974359,3377.41538461538,0.0510585305105853,0.317617866004963,0.538265306122449
48001,1992,2164,2652,1839,1643,1811,2385,2320,-196,24,-490,1464.87426757813,2.49796250774027,1.36298189844768,27.7018101552324,1.3018437161161,2.88581063621747,1.46644800242194,3494.50549450549,3378.87179487179,0.0585305105853051,0.320099255583127,0.536989795918367
48641,1989,2158,2648,1846,1647,1811,2386,2319,-196,29,-481,1484.40551757813,2.61527712163432,1.12443916415775,27.5560835842248,2.74840273187927,-0.0860643883021373,1.5548166832276,3495.9706959707,3377.41538461538,0.0585305105853051,0.326302729528536,0.525510204081633
49281,1994,2172,2664,1844,1644,1813,2387,2306,-191,26,-484,1503.93676757813,2.43019412059872,1.67835313774475,28.1646862255247,1.70494640905492,0.790890310424991,0.767344792384584,3497.4358974359,3358.48205128205,0.0647571606475716,0.32258064516129,0.529336734693878
49921,2004,2166,2648,1842,1645,1810,2384,2324,-195,29,-486,1523.46801757813,1.99611485224094,1.44472313859885,27.5276861401149,2.01366016774632,1.60278153057717,1.88087674877335,3493.04029304029,3384.69743589744,0.0597758405977584,0.326302729528536,0.531887755102041
50561,2002,2158,2671,1845,1645,1814,2382,2306,-197,37,-489,1542.99926757813,2.0916280987765,1.11533934405227,28.4660655947729,2.06775098230524,0.370643567910908,0.408473983493879,3490.10989010989,3358.48205128205,0.0572851805728518,0.336228287841191,0.535714285714286
51201,1996,2145,2674,1844,1644,1812,2387,2312,-190,31,-486,1562.53051757813,2.33421645794632,0.593830071744283,28.6169928255717,1.69760264758029,0.783546548950364,1.14187662759058,3497.4358974359,3367.22051282051,0.0660024906600249,0.3287841191067,0.531887755102041
51841,1983,2171,2638,1845,1647,1815,2386,2300,-196,34,-487,1582.06176757813,2.8673379681528,1.64865085783529,27.1349142164713,2.76953918822431,0.363814993784629,0.0481144838887936,3495.9706959707,3349.74358974359,0.0585305105853051,0.332506203473945,0.533163265306122
52481,1996,2169,2654,1843,1644,1812,2384,2315,-203,29,-488,1601.59301757813,2.33661861027481,1.56231383319454,27.7686166805458,1.68936405802682,1.20405088513862,1.13330176907574,3493.04029304029,3371.58974358974,0.049813200498132,0.326302729528536,0.534438775510204
53121,2007,2136,2647,1843,1643,1811,2386,2328,-201,33,-483,1621.12426757813,1.84745215046015,0.244552785962889,27.5447214037111,1.33479807432997,1.20379329146445,1.50074743648128,3495.9706959707,3390.52307692308,0.0523038605230386,0.331265508684864,0.528061224489796
53761,1981,2165,2658,1843,1643,1812,2383,2318,-200,24,-478,1640.65551757813,2.96199444702453,1.40050785503811,27.9492144961886,1.3421418358046,1.21113705293907,1.12621560127529,3491.57509157509,3375.95897435897,0.0535491905354919,0.320099255583127,0.521683673469388
54401,1965,2162,2655,1845,1645,1813,2385,2306,-201,29,-479,1660.18676757813,3.62426517493007,1.28151590491747,27.8484095082527,2.06040722083061,0.363299806436281,0.783005818699872,3494.50549450549,3358.48205128205,0.0523038605230386,0.326302729528536,0.522959183673469
55041,1988,2168,2652,1843,1645,1811,2384,2315,-188,19,-485,1679.71801757813,2.66773795987872,1.52302796639122,27.697203360878,2.02924251877442,1.18962095586354,1.51491977208219,3493.04029304029,3371.58974358974,0.0684931506849315,0.313895781637717,0.530612244897959
55681,2007,2170,2649,1843,1643,1813,2387,2319,-201,28,-494,1699.24926757813,1.87490074440032,1.60442723346785,27.5572766532146,1.34948559727923,1.2184808144137,0.751683766069296,3497.4358974359,3377.41538461538,0.0523038605230386,0.325062034739454,0.542091836734694
56321,1978,2167,2641,1845,1645,1813,2388,2306,-190,24,-484,1718.78051757813,3.07508927999488,1.48732864646724,27.2671353532765,2.06040722083061,0.363299806436281,0.783005818699872,3498.9010989011,3358.48205128205,0.0660024906600249,0.320099255583127,0.529336734693878
56961,1996,2197,2638,1843,1644,1812,2383,2312,-199,34,-487,1738.31176757813,2.34523432995964,2.68927559092947,27.0724409070527,1.68936405802682,1.20405088513862,1.13330176907574,3491.57509157509,3367.22051282051,0.0547945205479452,0.332506203473945,0.533163265306122
57601,1982,2161,2651,1843,1645,1813,2387,2316,-199,25,-486,1757.84301757813,2.91171956739906,1.24323927572438,27.6760724275618,2.04393004172367,1.20430847881279,0.765856101670203,3497.4358974359,3373.04615384615,0.0547945205479452,0.321339950372208,0.531887755102041
58241,1996,2165,2638,1843,1644,1812,2384,2316,-199,30,-482,1777.37426757813,2.32089251969765,1.40864014156684,27.1359858433156,1.68936405802682,1.20405088513862,1.13330176907574,3493.04029304029,3373.04615384615,0.0547945205479452,0.327543424317618,0.526785714285714
58881,1983,2158,2653,1844,1644,1813,2386,2316,-198,23,-478,1796.90551757813,2.86933976175987,1.1223873257105,27.7612674289497,1.70494640905492,0.790890310424991,0.767344792384584,3495.9706959707,3373.04615384615,0.0560398505603985,0.318858560794045,0.521683673469388
59521,1986,2162,2664,1845,1645,1813,2387,2310,-199,27,-486,1816.43676757813,2.75605275660325,1.27808783336536,28.1912166634638,2.06040722083061,0.363299806436281,0.783005818699872,3497.4358974359,3364.30769230769,0.0547945205479452,0.323821339950372,0.531887755102041
60161,1982,2150,2644,1844,1644,1813,2385,2317,-198,28,-483,1835.96801757813,2.89780309824269,0.80582335105588,27.4176648944121,1.70494640905492,0.790890310424991,0.767344792384584,3494.50549450549,3374.50256410256,0.0560398505603985,0.325062034739454,0.528061224489796
60801,2000,2165,2642,1844,1644,1813,2387,2313,-195,29,-490,1855.49926757813,2.15733063491555,1.40707206990797,27.2927930092029,1.70494640905492,0.790890310424991,0.767344792384584,3497.4358974359,3368.67692307692,0.0597758405977584,0.326302729528536,0.536989795918367
61441,2010,2159,2648,1844,1644,1813,2388,2312,-192,27,-475,1875.03051757813,1.74069099246258,1.16463417889095,27.5365821109047,1.70494640905492,0.790890310424991,0.767344792384584,3498.9010989011,3367.22051282051,0.0635118306351183,0.323821339950372,0.517857142857143
62081,2006,2165,2647,1843,1644,1812,2385,2321,-200,31,-489,1894.56176757813,1.911195097474,1.40512032114108,27.4879678858924,1.68936405802682,1.20405088513862,1.13330176907574,3494.50549450549,3380.3282051282,0.0535491905354919,0.3287841191067,0.535714285714286
62721,1996,2136,2643,1843,1644,1811,2385,2320,-204,27,-481,1914.09301757813,2.30279630548972,0.246062471974889,27.393752802511,1.6820202965522,1.19670712366399,1.50783360428173,3494.50549450549,3378.87179487179,0.0485678704856787,0.323821339950372,0.525510204081633
63361,2016,2167,2642,1843,1643,1811,2386,2319,-197,32,-478,1933.62426757813,1.49192109463413,1.48724523840027,27.2754761599727,1.33479807432997,1.20379329146445,1.50074743648128,3495.9706959707,3377.41538461538,0.0572851805728518,0.330024813895782,0.521683673469388
64001,1994,2155,2654,1843,1644,1812,2385,2319,-200,31,-491,1953.15551757813,2.40933543121303,1.002019142485,27.7980857515,1.68936405802682,1.20405088513862,1.13330176907574,3494.50549450549,3377.41538461538,0.0535491905354919,0.3287841191067,0.538265306122449
64641,2009,2157,2635,1846,1646,1814,2387,2305,-193,26,-486,1972.68676757813,1.77054757729592,1.08979078587748,27.020921412252,2.42321179408093,-0.0569469360778019,0.424135009809167,3497.4358974359,3357.02564102564,0.062266500622665,0.32258064516129,0.531887755102041
65281,1991,2166,2635,1844,1645,1811,2386,2319,-196,24,-488,1992.21801757813,2.52769097778276,1.44981937149019,27.0180628509811,2.03748110832789,0.769116619675283,1.52349463059702,3495.9706959707,3377.41538461538,0.0585305105853051,0.320099255583127,0.534438775510204
385,2005,2147,2634,1844,1645,1813,2386,2310,-198,26,-487,2011.74926757813,1.92888077717635,0.689959203446288,27.0040796553712,2.05216863127714,0.783804142624538,0.774430960185037,3495.9706959707,3364.30769230769,0.0560398505603985,0.32258064516129,0.533163265306122
1025,1986,2181,2654,1844,1645,1811,2384,2309,-195,30,-488,2031.28051757813,2.7625786037623,2.04246871863857,27.7531281361433,2.03748110832789,0.769116619675283,1.52349463059702,3493.04029304029,3362.85128205128,0.0597758405977584,0.327543424317618,0.534438775510204
1665,1986,2140,2681,1844,1644,1812,2385,2314,-201,33,-479,2050.81176757813,2.75279383661094,0.39084486366451,28.915513633549,1.69760264758029,0.783546548950364,1.14187662759058,3494.50549450549,3370.13333333333,0.0523038605230386,0.331265508684864,0.522959183673469
2305,1999,2191,2652,1846,1646,1814,2384,2304,-194,31,-488,2070.34301757813,2.22671863990135,2.44357644449427,27.6423555505733,2.42321179408093,-0.0569469360778019,0.424135009809167,3493.04029304029,3355.56923076923,0.0610211706102117,0.3287841191067,0.534438775510204
2945,1996,2172,2651,1843,1644,1812,2384,2316,-199,29,-484,2089.87426757813,2.33652252418167,1.68357448273653,27.6425517263468,1.68936405802682,1.20405088513862,1.13330176907574,3493.04029304029,3373.04615384615,0.0547945205479452,0.326302729528536,0.529336734693878
3585,1961,2175,2660,1840,1645,1812,2384,2313,-198,23,-487,2109.40551757813,3.80485031254671,1.79973889938718,28.0261100612816,2.01187051158864,2.45847772590294,1.11466336133169,3493.04029304029,3368.67692307692,0.0560398505603985,0.318858560794045,0.533163265306122
